dataset	version	Common name	Scientific name	Class	species	common	file_species
ogarnettii_gene_ensembl	OtoGar3	Bushbaby	Otolemur garnettii	Mammal	Otolemur_garnettii	Bushbaby	Otolemur_garnettii
oaries_gene_ensembl	Oar_v3.1	Sheep	Ovis aries	Mammal	Ovis_aries	Sheep	Ovis_aries
ppaniscus_gene_ensembl	panpan1.1	Bonobo	Pan paniscus	Mammal	Pan_paniscus	Bonobo	Pan_paniscus
ptroglodytes_gene_ensembl	Pan_tro_3.0	Chimpanzee	Pan troglodytes	Mammal	Pan_troglodytes	Chimpanzee	Pan_troglodytes
pleo_gene_ensembl	PanLeo1.0	Lion	Panthera leo	Mammal	Panthera_leo	Lion	Panthera_leo
ppardus_gene_ensembl	PanPar1.0	Leopard	Panthera pardus	Mammal	Panthera_pardus	Leopard	Panthera_pardus
ptaltaica_gene_ensembl	PanTig1.0	Tiger	Panthera tigris altaica	Mammal	Panthera_tigris	Tiger	Panthera_tigris_altaica
panubis_gene_ensembl	Panubis1.0	Olive baboon	Papio anubis	Mammal	Papio_anubis	Olive_baboon	Papio_anubis
pkingsleyae_gene_ensembl	PKINGS_0.1	Mormyrid Electric Fish	Paramormyrops kingsleyae	Fish	Paramormyrops_gabonensis	Mormyrid_electric_fish	Paramormyrops_kingsleyae
pmajor_gene_ensembl	Parus_major1.1	Great Tit	Parus major	Bird	Parus_major	Great_Tit	Parus_major
psinensis_gene_ensembl	PelSin_1.0	Chinese softshell turtle	Pelodiscus sinensis	Reptile	Pelodiscus_sinensis	Chinese_softshell_turtle	Pelodiscus_sinensis
pmbairdii_gene_ensembl	HU_Pman_2.1	Northern American deer mouse	Peromyscus maniculatus bairdii	Mammal	Peromyscus_maniculatus	Northern_American_deer_mouse	Peromyscus_maniculatus_bairdii
pmarinus_gene_ensembl	Pmarinus_7.0	Lamprey	Petromyzon marinus	Jawless fish	Petromyzon_marinus	Lamprey	Petromyzon_marinus
pcinereus_gene_ensembl	phaCin_unsw_v4.1	Koala	Phascolarctos cinereus	Mammal	Phascolarctos_cinereus	Koala	Phascolarctos_cinereus
psinus_gene_ensembl	mPhoSin1.pri	Vaquita	Phocoena sinus	Mammal	Phocoena_sinus	Vaquita	Phocoena_sinus
pcatodon_gene_ensembl	ASM283717v2	Sperm whale	Physeter catodon	Mammal	Physeter_catodon	Sperm_whale	Physeter_catodon
pmuralis_gene_ensembl	PodMur_1.0	Common wall lizard	Podarcis muralis	Reptile	Podarcis_muralis	Common_wall_lizard	Podarcis_muralis
pformosa_gene_ensembl	PoeFor_5.1.2	Amazon molly	Poecilia formosa	Fish	Poecilia_formosa	Amazon_molly	Poecilia_formosa
platipinna_gene_ensembl	P_latipinna-1.0	Sailfin molly	Poecilia latipinna	Fish	Poecilia_latipinna	Sailfin_molly	Poecilia_latipinna
preticulata_gene_ensembl	Guppy_female_1.0_MT	Guppy	Poecilia reticulata	Fish	Poecilia_reticulata	Guppy	Poecilia_reticulata
pabelii_gene_ensembl	Susie_PABv2	Sumatran orangutan	Pongo abelii	Mammal	Pongo_abelii	Sumatran_orangutan	Pongo_abelii
pcapensis_gene_ensembl	proCap1	Hyrax	Procavia capensis	Mammal	Procavia_capensis	Hyrax	Procavia_capensis
psimus_gene_ensembl	Prosim_1.0	Greater bamboo lemur	Prolemur simus	Mammal	Prolemur_simus	Greater_bamboo_lemur	Prolemur_simus
pcoquereli_gene_ensembl	Pcoq_1.0	Coquerels sifaka	Propithecus coquereli	Mammal	Propithecus_coquereli	Coquerels_sifaka	Propithecus_coquereli
ptextilis_gene_ensembl	EBS10Xv2-PRI	Eastern brown snake	Pseudonaja textilis	Reptile	Pseudonaja_textilis	Eastern_brown_snake	Pseudonaja_textilis
pvampyrus_gene_ensembl	pteVam1	Megabat	Pteropus vampyrus	Mammal	Pteropus_vampyrus	Megabat	Pteropus_vampyrus
pnyererei_gene_ensembl	PunNye1.0	Makobe Island cichlid	Pundamilia nyererei	Fish	Pundamilia_nyererei	Makobe_Island_cichlid	Pundamilia_nyererei
pnattereri_gene_ensembl	Pygocentrus_nattereri-1.0.2	Red-bellied piranha	Pygocentrus nattereri	Fish	Pygocentrus_nattereri	Red_bellied_piranha	Pygocentrus_nattereri
rnorvegicus_gene_ensembl	mRatBN7.2	Rat	Rattus norvegicus	Mammal	Rattus_norvegicus	Rat	Rattus_norvegicus
rferrumequinum_gene_ensembl	mRhiFer1_v1.p	Greater horseshoe bat	Rhinolophus ferrumequinum	Mammal	Rhinolophus_ferrumequinum	Greater_horseshoe_bat	Rhinolophus_ferrumequinum
rbieti_gene_ensembl	ASM169854v1	Black snub-nosed monkey	Rhinopithecus bieti	Mammal	Rhinopithecus_bieti	Black_snub_nosed_monkey	Rhinopithecus_bieti
rroxellana_gene_ensembl	Rrox_v1	Golden snub-nosed monkey	Rhinopithecus roxellana	Mammal	Rhinopithecus_roxellana	Golden_snub_nosed_monkey	Rhinopithecus_roxellana
sbboliviensis_gene_ensembl	SaiBol1.0	Bolivian squirrel monkey	Saimiri boliviensis boliviensis	Mammal	Saimiri_boliviensis	Bolivian_squirrel_monkey	Saimiri_boliviensis_boliviensis
ssalar_gene_ensembl	ICSASG_v2	Atlantic salmon	Salmo salar	Fish	Salmo_salar	Atlantic_salmon	Salmo_salar
strutta_gene_ensembl	fSalTru1.1	Brown trout	Salmo trutta	Fish	Salmo_trutta	Brown_trout	Salmo_trutta
smerianae_gene_ensembl	HLtupMer3	Argentine black and white tegu	Salvator merianae	Reptile	Salvator_merianae	Argentine_black_and_white_tegu	Salvator_merianae
slucioperca_gene_ensembl	SLUC_FBN_1	Pike-perch	Sander lucioperca	Fish	Sander_lucioperca	Pike_perch	Sander_lucioperca
sharrisii_gene_ensembl	mSarHar1.11	Tasmanian devil	Sarcophilus harrisii	Mammal	Sarcophilus_harrisii	Tasmanian_devil	Sarcophilus_harrisii
svulgaris_gene_ensembl	mSciVul1.1	Eurasian red squirrel	Sciurus vulgaris	Mammal	Sciurus_vulgaris	Eurasian_red_squirrel	Sciurus_vulgaris
sformosus_gene_ensembl	fSclFor1.1	Asian bonytongue	Scleropages formosus	Fish	Scleropages_formosus	Asian_bonytongue	Scleropages_formosus
smaximus_gene_ensembl	ASM1334776v1	Turbot	Scophthalmus maximus	Fish	Scophthalmus_maximus	Turbot	Scophthalmus_maximus
scanaria_gene_ensembl	SCA1	Common canary	Serinus canaria	Bird	Serinus_canaria	Common_canary	Serinus_canaria
sdumerili_gene_ensembl	Sdu_1.0	Greater amberjack	Seriola dumerili	Fish	Seriola_dumerili	Greater_amberjack	Seriola_dumerili
