dataset	version	Common name	Scientific name	Class	species	common	file_species
gevgoodei_gene_ensembl	rGopEvg1_v1.p	Goodes thornscrub tortoise	Gopherus evgoodei	Reptile	Gopherus_agassizii	Goodes_thornscrub_tortoise	Gopherus_evgoodei
ggorilla_gene_ensembl	gorGor4	Gorilla	Gorilla gorilla gorilla	Mammal	Gorilla_gorilla	Gorilla	Gorilla_gorilla
hburtoni_gene_ensembl	AstBur1.0	Burtons mouthbrooder	Haplochromis burtoni	Fish	Haplochromis_burtoni	Burtons_mouthbrooder	Haplochromis_burtoni
hgfemale_gene_ensembl	HetGla_female_1.0	Naked mole-rat female	Heterocephalus glaber	Mammal	Heterocephalus_glaber	Naked_mole_rat_female	Heterocephalus_glaber_female
hcomes_gene_ensembl	H_comes_QL1_v1	Tiger tail seahorse	Hippocampus comes	Fish	Hippocampus_comes	Tiger_tail_seahorse	Hippocampus_comes
hsapiens_gene_ensembl	GRCh38	Human	Homo sapiens	Mammal	Homo_sapiens	Human	Homo_sapiens
hhucho_gene_ensembl	ASM331708v1	Huchen	Hucho hucho	Fish	Hucho_hucho	Huchen	Hucho_hucho
ipunctatus_gene_ensembl	IpCoco_1.2	Channel catfish	Ictalurus punctatus	Fish	Ictalurus_punctatus	Channel_catfish	Ictalurus_punctatus
itridecemlineatus_gene_ensembl	SpeTri2.0	Squirrel	Ictidomys tridecemlineatus	Mammal	Ictidomys_tridecemlineatus	Squirrel	Ictidomys_tridecemlineatus
jjaculus_gene_ensembl	JacJac1.0	Lesser Egyptian jerboa	Jaculus jaculus	Mammal	Jaculus_jaculus	Lesser_Egyptian_jerboa	Jaculus_jaculus
kmarmoratus_gene_ensembl	ASM164957v1	Mangrove rivulus	Kryptolebias marmoratus	Fish	Kryptolebias_marmoratus	Mangrove_rivulus	Kryptolebias_marmoratus
lbergylta_gene_ensembl	BallGen_V1	Ballan wrasse	Labrus bergylta	Fish	Labrus_bergylta	Ballan_wrasse	Labrus_bergylta
lcrocea_gene_ensembl	L_crocea_2.0	Large yellow croaker	Larimichthys crocea	Fish	Larimichthys_crocea	Large_yellow_croaker	Larimichthys_crocea
lcalcarifer_gene_ensembl	ASB_HGAPassembly_v1	Barramundi perch	Lates calcarifer	Fish	Lates_calcarifer	Barramundi_perch	Lates_calcarifer
llaticaudata_gene_ensembl	latLat_1.0	Blue-ringed sea krait	Laticauda laticaudata	Reptile	Laticauda_laticaudata	Blue_ringed_sea_krait	Laticauda_laticaudata
lchalumnae_gene_ensembl	LatCha1	Coelacanth	Latimeria chalumnae	Fish	Latimeria_chalumnae	Coelacanth	Latimeria_chalumnae
loculatus_gene_ensembl	LepOcu1	Spotted gar	Lepisosteus oculatus	Fish	Lepisosteus_oculatus	Spotted_gar	Lepisosteus_oculatus
lleishanense_gene_ensembl	ASM966780v1	Leishan spiny toad	Leptobrachium leishanense	Amphibian	Leptobrachium_leishanense	Leishan_spiny_toad	Leptobrachium_leishanense
lafricana_gene_ensembl	loxAfr3	Elephant	Loxodonta africana	Mammal	Loxodonta_africana	Elephant	Loxodonta_africana
mfascicularis_gene_ensembl	Macaca_fascicularis_6.0	Crab-eating macaque	Macaca fascicularis	Mammal	Macaca_fascicularis	Crab_eating_macaque	Macaca_fascicularis
